Page            Page Rank                 No. of Outlinks      No. of Inlinks 
WT21-B37-76     0.0026944708785777444     5                    2568           
WT21-B37-75     0.0015331771293438034     1                    1704           
WT25-B39-116    0.0014685087868547102     1                    169            
WT23-B21-53     0.0013735335821988344     1                    198            
WT24-B26-10     0.001276215008801935      1                    291            
WT24-B40-171    0.0012452591223336598     209                  270            
WT23-B39-340    0.0012428612869828874     395                  274            
WT23-B37-134    0.0012054273922617123     2                    207            
WT08-B18-400    0.0011447764367003175     0                    990            
WT13-B06-284    0.001136550377992955      2                    454            
WT13-B06-273    0.0010549175801714342     11                   452            
WT01-B18-225    0.0009553812196934016     0                    1137           
WT04-B27-720    0.000940955907280795      27                   291            
WT24-B26-46     0.0008622309745390188     3                    179            
WT23-B19-156    0.0008250669463171077     12                   364            
WT04-B30-12     0.0008166209191956031     8                    241            
WT25-B15-307    0.0007972230008250924     8                    605            
WT07-B18-256    0.0007750024108448045     169                  169            
WT24-B40-167    0.0007076056547892882     152                  153            
WT14-B03-220    0.0006988600464577245     162                  163            
WT18-B31-240    0.0006942192732102163     31                   259            
WT14-B03-227    0.0006852823072029095     147                  148            
WT04-B40-202    0.0006846752449326029     36                   322            
WT08-B19-222    0.0006495321309790612     1                    1041           
WT23-B20-363    0.0006396307474757167     193                  181            
WT27-B28-203    0.0006270789092354628     2                    589            
WT13-B39-295    0.0006215355451936358     19                   443            
WT13-B15-160    0.0006198581863076683     0                    484            
WT12-B30-56     0.0006024579359330114     7                    174            
WT10-B02-288    0.000584450250873208      18                   193            
WT14-B36-337    0.000561709964710547      5                    417            
WT21-B40-37     0.0005471871385415556     0                    201            
WT21-B35-155    0.0005456991709918244     7                    174            
WT23-B01-40     0.0005408477442367961     39                   147            
WT08-B08-60     0.0005361182732758084     39                   175            
WT22-B38-403    0.0005335763598889011     27                   273            
WT13-B39-321    0.000532889817833217      19                   52             
WT04-B22-268    0.0005328514035556805     109                  113            
WT14-B02-400    0.0005327774885263335     114                  115            
WT18-B14-66     0.0005295550478291665     135                  150            
WT06-B14-69     0.0005191646127875427     1                    57             
WT23-B38-120    0.000518672680565833      395                  116            
WT06-B35-151    0.000516926347395077      11                   255            
WT10-B33-300    0.0005167736615810141     0                    406            
WT14-B36-323    0.0005158644750207687     13                   368            
WT14-B36-334    0.0005158644750207687     6                    368            
WT14-B36-335    0.0005158644750207687     6                    368            
WT14-B36-336    0.0005158644750207687     5                    368            
WT06-B35-161    0.0005150203875103555     11                   253            
WT27-B20-494    0.000514475884271273      15                   121            
WT23-B38-87     0.0005138134958930724     1                    1              
WT27-B34-57     0.0005064132971790089     623                  630            
WT27-B32-30     0.0005006795702889145     0                    628            
WT04-B40-238    0.0004983022660813097     21                   311            
WT23-B27-31     0.0004944009479623443     42                   194            
WT07-B15-48     0.0004893720359125769     12                   235            
WT21-B40-442    0.0004862005246245808     0                    4              
WT11-B02-164    0.00048318933343726524    20                   183            
WT21-B37-70     0.00047627548968526485    25                   3              
WT21-B37-72     0.00047560792607670427    2                    2              
WT22-B14-357    0.0004746025892869982     7                    280            
WT04-B34-218    0.00046287864913810645    24                   141            
WT14-B03-221    0.00046233644397850846    104                  105            
WT12-B09-105    0.00045048055296832245    500                  234            
WT15-B07-95     0.0004401285476500665     18                   205            
WT21-B03-285    0.00042203620711554453    15                   189            
WT18-B28-345    0.0004213557860925267     30                   250            
WT27-B28-177    0.00041950314494015227    20                   461            
WT11-B19-232    0.0004164483535004048     9                    161            
WT11-B19-250    0.0004156036466079928     2                    160            
WT20-B39-148    0.000413434255387216      8                    168            
WT25-B31-102    0.0004089296823828895     90                   90             
WT23-B23-51     0.00040283627929507947    136                  400            
WT21-B01-46     0.00039403344377860486    6                    154            
WT14-B14-78     0.00039195010141968386    1                    64             
WT06-B09-17     0.00038943751705865996    94                   101            
WT23-B27-29     0.00038549024615618294    0                    388            
WT06-B14-163    0.0003749887220725846     1                    44             
WT10-B30-205    0.0003727555658744398     10                   157            
WT12-B37-314    0.0003724033275980883     1                    45             
WT13-B02-184    0.0003711943868301724     20                   159            
WT13-B16-437    0.0003701755132704411     12                   291            
WT08-B24-319    0.000369104347671562      1                    287            
WT12-B34-116    0.00036887539767247845    4                    178            
WT24-B26-2      0.0003680169670148722     2                    320            
WT25-B17-38     0.0003641552827689835     43                   161            
WT20-B03-150    0.00036290598541486023    33                   145            
WT14-B04-105    0.0003597884457331174     78                   79             
WT07-B23-234    0.0003568192438880389     21                   234            
WT14-B14-85     0.0003549224436461185     1                    4              
WT22-B14-364    0.0003516409946489315     13                   189            
WT16-B01-282    0.00034868523061135217    12                   58             
WT18-B14-71     0.0003478714048010889     89                   100            
WT13-B16-450    0.00034617854582338355    11                   291            
WT25-B23-127    0.0003460123831571915     328                  169            
WT09-B39-178    0.00034563574227507697    7                    77             
WT12-B17-278    0.000345070584171034      23                   78             
WT13-B30-412    0.00034476158206597817    74                   75             
WT21-B40-447    0.00034263625585957274    15                   779            
WT23-B30-88     0.00033921714805655546    10                   477            
WT04-B29-48     0.00033781148221235147    68                   68             
WT13-B30-408    0.0003362133230507741     51                   114            
WT18-B31-187    0.00033409990878845993    19                   159            
WT08-B24-317    0.0003317682262199698     1                    2              
WT07-B14-24     0.0003293565583432508     70                   70             
WT11-B13-4      0.0003272029848982137     1                    40             
WT12-B40-248    0.0003271652673182484     3                    357            
WT24-B33-59     0.0003258915059959538     56                   53             
WT13-B25-82     0.000324077305669969      137                  146            
WT18-B14-62     0.0003231764241283739     57                   76             
WT06-B39-355    0.0003224299385141736     7                    178            
WT13-B16-460    0.0003201405159010237     10                   199            
WT18-B14-68     0.00031852475770727836    74                   81             
WT26-B25-680    0.0003175115946942316     2                    81             
WT15-B01-16     0.0003174442993845328     1                    37             
WT25-B31-56     0.00031731750229558887    73                   72             
WT26-B22-336    0.00031722865562228174    9                    164            
WT23-B18-180    0.0003171107073194902     44                   74             
WT26-B25-679    0.0003158333619714428     2                    80             
WT04-B33-221    0.0003155655278061596     17                   81             
WT04-B38-204    0.00031531490763547196    11                   281            
WT25-B19-180    0.00031394043450413896    8                    8              
WT17-B29-66     0.00031150119509042027    5                    175            
WT17-B29-69     0.00031150119509042027    5                    175            
WT17-B29-70     0.00031150119509042027    5                    175            
WT27-B19-302    0.00031132329258130317    9                    213            
WT17-B29-67     0.00031107168179637793    7                    172            
WT17-B29-68     0.00031051535039089173    5                    172            
WT09-B28-263    0.0003097963443884007     0                    258            
WT24-B11-329    0.0003094012298222068     52                   53             
WT07-B14-20     0.0003015914341818824     64                   64             
